Province,2022,2021,2020,2019,2018,2017,2016,2015,2014
Beijing,,,,,,52912,48883,39200,36057
Tianjing,,,,,,38975,36257,32595,28492
Hebei,,,,,,15893,14328,12829,12171
Shanxi,,,,,,18132,15065,14364,12622
Neimenggu,,,,,,23909,22293,20835,19827
Liaoning,,,,,,24866,23670,23693,22260
Jilin,,,,,,15083,13786,14630,13663
Heilongjiang,,,,,,18859,17393,16443,15215
Shanghai,,,,,,53617,49617,45816,43007
Jiangsu,,,,,,39796,35875,31682,28316
Zhejiang,,,,,,33851,30743,28712,26885
Anhui,,,,,,17141,15466,13941,12944
Fujian,,,,,,25969,23355,20828,19099
Jiangxi,,,,,,17290,16040,14489,12000
Shandong,,,,,,28353,25860,20684,19184
Henan,,,,,,17842,16043,14507,13078
Hubei,,,,,,21642,19391,17429,15762
Hunan,,,,,,19418,17490,16289,14384
Guangdong,,,,,,30762,28495,26365,24582
Guangxi,,,,,,16064,15013,13857,12944
Hainan,,,,,,20939,18431,17019,12915
Chongqing,,,,,,22927,21032,18860,17262
Sichuan,,,,,,17920,16013,14774,13755
Guizhou,,,,,,16349,14666,12876,11362
Yunnan,,,,,,15831,14534,13401,12235
Xizang,,,,,,10990,9743,8756,7205
Shaanxi,,,,,,18485,16657,15363,14812
Gansu,,,,,,14203,13086,11868,10678
Qinghai,,,,,,18020,16751,15167,13534
Ningxia,,,,,,21058,18570,17210,15193
Xinjiang,,,,,,16736,15247,13684,12435
source: stats.gov.cn,,,,,,,,,
